,,,,,,
,Rohit Sharma  (India),88.79,bat,,,
,Jasprit Bumrah  (India),0,ball,,,
,Kedar Jadhav  (India),70.689,all,,,
,Yuzvendra Chahal  (India),0,ball,,,
,Shikhar Dhawan  (India),87.05,bat,,,
,KL Rahul  (India),79.37,bat,,,
,Bhuvneshwar Kumar  (India),0,ball,,,
,Virat Kohli  (India),94.47,bat,,,
,Kuldeep Yadav  (India),0,ball,,,
,Hardik Pandya  (India),69.54,all,,,
,M S Dhoni  (India  ACC Asian XI),86.65,wk,,,
,Rishabh Pant  (India),68.09,wk,,,
,Mohammed Shami  (India),0,ball,,,
,Dinesh Karthik  (India),66.27,wk,,,
,Ravindra Jadeja  (India),67.36,all,,,
,Marcus Stoinis  (Australia),71.08,all,,,
,Nathan Coulter-Nile  (Australia),0,ball,,,
,David Warner  (Australia),85.73,bat,,,
,Mitchell Starc  (Australia),0,ball,,,
,Steve Smith  (Australia),80.02,bat,,,
,Patrick Cummins  (Australia),0,ball,,,
,Aaron Finch  (Australia),84.38,bat,,,
,Jason Behrendorff  (Australia),0,ball,,,
,Glenn Maxwell  (Australia),77.19,all,,,
,Alex Carey  (Australia),68.45,wk,,,
,Usman Khawaja  (Australia),79.52,bat,,,
,Adam Zampa  (Australia),0,ball,,,
,Peter Handscomb  (Australia),72.11,bat,,,
,Nathon Lyon  (Australia),0,ball,,,
,Eoin Morgan  (England  Ireland),83.21,bat,,,
,James Vince  (England),65.97,bat,,,
,Mark Wood  (England),0,ball,,,
,Moeen Ali  (England),68.7,all,,,
,Jofra Archer  (England),0,ball,,,
,Joe Root  (England),84.21,bat,,,
,Jos Butler  (England),80.33,wk,,,
,Jason Roy  (England),84.73,bat,,,
,Jonny Bairstow  (England),83.63,bat,,,
,Liam Plunkett  (England),0,ball,,,
,Chris Woakes  (England),63.1,all,,,
,Adil Rashid  (England),0,ball,,,
,Ben Stokes  (England),77.62,all,,,
,Mushfiqur Rahim  (Bangladesh),77.7,wk,,,
,Tamim Iqbal  (Bangladesh),83.16,bat,,,
,Mustafizur Rahman  (Bangladesh),0,ball,,,
,Sabbir Rahman  (Bangladesh),68,bat,,,
,Mashrafe Mortaza (Bangladesh  ACC Asian XI),0,ball,,,
,Liton Das  (Bangladesh),72,bat,,,
,Shakib Al Hasan  (Bangladesh),80.35,all,,,
,Mosaddeck Hossain  (Bangladesh),62.56,all,,,
,Soumya Sarkar  (Bangladesh),76.63,bat,,,
,Mohammad Saifuddin  (Bangladesh),65.44,all,,,
,Rubel Hossain  (Bangladesh),0,ball,,,
,James Neesham  (New Zealand),68.04,all,,,
,Trent Boult  (New Zealand),0,ball,,,
,Matthew Henry  (New Zealand),0,ball,,,
,Colin de Grandhomme  (New Zealand),67.89,all,,,
,Mitchell Santner  (New Zealand),61.8,all,,,
,Tom Latham  (New Zealand),73.11,wk,,,
,Lockie Ferguson  (New Zealand),0,ball,,,
,Ross Taylor  (New Zealand),85.93,bat,,,
,Henry Nicholls  (New Zealand),0,bat,,,
,Martin Guptill  (New Zealand),84.86,bat,,,
,Kane Williamson  (New Zealand),86,bat,,,
